question,answer
Who is PMKVY Short Term Training meant to benefit?,PMKVY Short Term Training is meant to benefit candidates of Indian nationality who are either school or college dropouts or unemployed.
What extra modules are taught in STT apart from NSQF training?,"Apart from NSQF training, STT also includes soft skills, entrepreneurship, financial literacy, digital literacy, and additional English and Employability & Entrepreneurship (EEE) modules."
Is STT only for first-time learners?,No. STT supports both fresh skilling for first-time learners and reskilling for trainees or existing workers who need additional skill sets.
How is STT implemented?,The Short-Term Training component is implemented under both the Central and State components of the scheme.
What is the age limit for STT eligibility?,The STT scheme is applicable to candidates aged between 15 and 45 years.
What documents or account details are mandatory to enroll in STT?,"For STT, the candidate must possess an Aadhaar card and an Aadhaar-linked bank account. The note also says Aadhaar ID is mandatory during enrolment."
What attendance is required to appear for STT assessments?,Students must maintain 70% attendance to be eligible to appear in the assessments.
How can someone apply for STT?,The application process for STT is offline. An interested candidate can contact the nearest training center to apply.
What is the training center link for STT?,The training center link for STT is https://www.pmkvyofficial.org/trainingcenter
What accidental insurance benefit is mentioned for STT?,Every certified candidate will be provided with three-year accidental insurance (Kaushal Bima) of Rs. 2 lakhs.
How many job roles are offered under STT according to the provided text?,The provided text says training is offered under 332 job roles from various sectors.
How are CSCM STT targets allocated to training providers?,"Under CSCM STT of PMKVY 3.0, target allocation happens in two phases: first all PMKKs are allocated targets, and then left-over targets are allocated to eligible training centres through Request For Proposal (RFP)."
What is the main purpose of PMKVY Special Projects?,"PMKVY Special Projects creates a platform for training in special areas or premises of government bodies, corporates, or industry bodies, and for special job roles not defined under available Qualification Packs or National Occupational Standards."
Who are Special Projects mainly intended for?,Special Projects are primarily meant to meet the skilling needs of marginalised or vulnerable groups and people from difficult or remote geographies and hard-to-reach areas.
Name some groups covered under Special Projects eligibility.,"Examples mentioned in the text include Scheduled Castes, Scheduled Tribes, transgender persons, persons with disabilities, women, economically backward people, and people from difficult or remote geographies such as LWE areas, aspirational districts, J&K, Ladakh, North East states, and island territories."
Can Special Projects include job roles outside existing PMKVY job roles?,Yes. A proposal can qualify as a Special Project if the job roles are outside the purview of existing PMKVY job roles.
What percentage of CSCM STT targets do Special Projects constitute?,Special Projects constitute 12% of the total allocated targets under STT in the CSCM component of PMKVY 3.0.
How much of state STT targets can states implement as Special Projects in PMKVY 3.0?,States are permitted to implement 15% of their STT targets as Special Projects within the state STT budget.
How does one apply for Special Projects?,"The application process mentioned for Special Projects is online. A manual is available on the Skill India Portal website for understanding the process, and SPIAs are responsible for entering candidate details on the Skill India Portal."
